a,3.2556860465116277
b,4.3820351731484095
c,6.240209250471671
d,4.1215633216756435
e,5.40062720501764
f,4.805329962889259
g,5.122313034440403
h,3.924724311392944
i,2.1714674783723167
j,5.054270462633452
k,4.630728893550079
l,4.409799623328908
m,3.9550060442295387
n,3.729139969977666
o,2.7743182650073206
p,6.246462558363332
q,5.848408710217756
r,5.705855323618223
s,4.476647072904753
t,3.7470437702005777
u,4.4798483206933915
v,5.91968286797656
w,4.371516049054029
x,2.7142857142857144
y,3.51187996605724
z,5.063291139240507
